category,subtype,expected,bare,fact
factual_recall,capital_short,Paris,False,True
factual_recall,capital_med,Paris,False,True
factual_recall,capital_long,Paris,False,True
factual_recall,capital_short,Tokyo,False,True
factual_recall,capital_med,Tokyo,True,True
factual_recall,capital_long,Tokyo,True,True
factual_recall,capital_short,Rome,False,True
factual_recall,capital_med,Rome,False,True
factual_recall,capital_long,Rome,False,True
factual_recall,capital_short,Cairo,False,True
factual_recall,capital_med,Cairo,True,True
factual_recall,capital_long,Cairo,True,True
factual_recall,capital_short,Brasilia,False,False
factual_recall,capital_med,Brasilia,False,False
factual_recall,capital_long,Brasilia,False,False
factual_recall,capital_short,Nairobi,True,True
factual_recall,capital_med,Nairobi,True,True
factual_recall,capital_long,Nairobi,True,True
factual_recall,capital_short,Oslo,False,True
factual_recall,capital_med,Oslo,True,True
factual_recall,capital_long,Oslo,True,True
factual_recall,capital_short,Lima,True,True
factual_recall,capital_med,Lima,True,True
factual_recall,capital_long,Lima,True,True
factual_recall,capital_short,Bangkok,False,True
factual_recall,capital_med,Bangkok,True,True
factual_recall,capital_long,Bangkok,True,True
factual_recall,capital_short,Lisbon,False,True
factual_recall,capital_med,Lisbon,True,True
factual_recall,capital_long,Lisbon,True,True
factual_recall,capital_short,Athens,True,True
factual_recall,capital_med,Athens,False,True
factual_recall,capital_long,Athens,True,True
factual_recall,capital_short,Havana,True,True
factual_recall,capital_med,Havana,True,True
factual_recall,capital_long,Havana,True,True
factual_recall,sport_short,basketball,True,True
factual_recall,sport_short,tennis,True,True
factual_recall,sport_short,soccer,False,False
factual_recall,sport_short,golf,True,True
multi_hop,state_capital,Austin,True,True
multi_hop,state_capital_long,Austin,True,True
multi_hop,state_capital,Olympia,True,True
multi_hop,state_capital_long,Olympia,True,True
multi_hop,state_capital,Tallahassee,True,True
multi_hop,state_capital_long,Tallahassee,True,True
multi_hop,state_capital,Lansing,True,True
multi_hop,state_capital_long,Lansing,True,True
multi_hop,state_capital,Springfield,False,True
multi_hop,state_capital_long,Springfield,True,False
multi_hop,state_capital,Albany,True,True
multi_hop,state_capital_long,Albany,True,True
multi_hop,state_capital,Harrisburg,True,True
multi_hop,state_capital_long,Harrisburg,True,False
multi_hop,state_capital,Madison,True,True
multi_hop,state_capital_long,Madison,True,True
multi_hop,state_capital,Nashville,False,True
multi_hop,state_capital_long,Nashville,True,True
multi_hop,state_capital,Lincoln,True,True
multi_hop,state_capital_long,Lincoln,True,True
multi_hop,city_language,French,True,True
multi_hop,city_language,German,True,True
multi_hop,city_language,Spanish,True,True
multi_hop,city_language,Italian,False,True
multi_hop,city_language,Japanese,True,True
multi_hop,city_language,Russian,True,True
multi_hop,city_language,Portuguese,True,True
multi_hop,city_language_long,French,True,True
multi_hop,city_language_long,German,True,False
multi_hop,city_language_long,Spanish,True,True
multi_hop,city_language_long,Italian,False,False
multi_hop,city_language_long,Japanese,True,True
